ORIGIN_NAME,DEST_NAME,IATA
Hartsfield Jackson Atlanta International,Hartsfield Jackson Atlanta International,ATL
Chicago OÍHare International,Chicago OÍHare International,ORD
Los Angeles International,Los Angeles International,LAX
Dallas Fort Worth International,Dallas Fort Worth International,DFW
Denver International,Denver International,DEN
John F Kennedy International,John F Kennedy International,JFK
San Francisco International,San Francisco International,SFO
Charlotte Douglas International,Charlotte Douglas International,CLT
McCarran International,McCarran International,LAS
Phoenix Sky Harbor International,Phoenix Sky Harbor International,PHX
George Bush Intercontinental Houston,George Bush Intercontinental Houston,IAH
Miami International,Miami International,MIA
Orlando International,Orlando International,MCO
Newark Liberty International,Newark Liberty International,EWR
Seattle Tacoma International,Seattle Tacoma International,SEA
Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis-St Paul International/Wold-Chamberlain,MSP
Detroit Metropolitan Wayne County,Detroit Metropolitan Wayne County,DTW
Philadelphia International,Philadelphia International,PHL
General Edward Lawrence Logan International,General Edward Lawrence Logan International,BOS
La Guardia,La Guardia,LGA
Fort Lauderdale Hollywood International,Fort Lauderdale Hollywood International,FLL
Baltimore/Washington International Thurgood Marshall,Baltimore/Washington International Thurgood Marshall,BWI
Washington Dulles International,Washington Dulles International,IAD
Salt Lake City International,Salt Lake City International,SLC
Ronald Reagan Washington National,Ronald Reagan Washington National,DCA
Chicago Midway International,Chicago Midway International,MDW
Honolulu International,Honolulu International,HNL
San Diego International,San Diego International,SAN
Tampa International,Tampa International,TPA
Cleveland Hopkins International,Cleveland Hopkins International,CLE
Portland International,Portland International,PDX
Lambert St Louis International,Lambert St Louis International,STL
William P Hobby,William P Hobby,HOU
Metropolitan Oakland International,Metropolitan Oakland International,OAK
Kansas City International,Kansas City International,MCI
Nashville International,Nashville International,BNA
Austin Bergstrom International,Austin Bergstrom International,AUS
Raleigh Durham International,Raleigh Durham International,RDU
Sacramento International,Sacramento International,SMF
John Wayne-Orange County,John Wayne-Orange County,SNA
