,ORIGIN_CITY_NAME,DEST_CITY_NAME,AIRCRAFT_AGE,DEST,ARR_TIME,DEP_TIME,UNIQUE_CARRIER,DAY_OF_WEEK,AIRCRAFT_MFR,FL_NUM,MONTH,DAY_OF_MONTH,DISTANCE,ORIGIN,PREDICTED_DELAY,FLIGHT_TIME,PREDICTED_FLIGHT_TIME
4156108,"New York, NY","Chicago, IL",2,MDW,738.0,627.0,WN,1,BOEING,490,12,22,725.0,LGA,-5.39173928641,71,65
4235745,"New York, NY","Chicago, IL",16,ORD,916.0,757.0,UA,1,AIRBUS,463,12,22,733.0,LGA,0.540535737994,79,79
4156107,"New York, NY","Chicago, IL",14,MDW,1423.0,1304.0,WN,1,BOEING,333,12,22,725.0,LGA,7.79696859375,79,86
4237736,"New York, NY","Chicago, IL",16,ORD,845.0,714.0,UA,1,BOEING,1094,12,22,733.0,LGA,0.60924888257,91,91
4237531,"New York, NY","Chicago, IL",16,ORD,746.0,610.0,UA,1,AIRBUS,683,12,22,733.0,LGA,-2.84236134894,96,93
4156110,"New York, NY","Chicago, IL",2,MDW,2304.0,2151.0,WN,1,BOEING,1272,12,22,725.0,LGA,21.2029494543,73,94
4237249,"New York, NY","Chicago, IL",15,ORD,1352.0,1227.0,UA,1,BOEING,1764,12,22,733.0,LGA,9.05946925854,85,94
4237552,"New York, NY","Chicago, IL",16,ORD,1030.0,855.0,UA,1,AIRBUS,711,12,22,733.0,LGA,4.41055594912,95,99
4156109,"New York, NY","Chicago, IL",2,MDW,1732.0,1606.0,WN,1,BOEING,1010,12,22,725.0,LGA,13.8538637014,86,99
4235492,"New York, NY","Chicago, IL",16,ORD,1235.0,1102.0,UA,1,AIRBUS,242,12,22,733.0,LGA,7.64125778668,93,100
4156111,"New York, NY","Chicago, IL",15,MDW,1253.0,1119.0,WN,1,BOEING,3211,12,22,725.0,LGA,8.15778086468,94,102
4237532,"New York, NY","Chicago, IL",13,ORD,1632.0,1457.0,UA,1,AIRBUS,685,12,22,733.0,LGA,9.39563419264,95,104
4237580,"New York, NY","Chicago, IL",17,ORD,1733.0,1601.0,UA,1,AIRBUS,741,12,22,733.0,LGA,14.9388644204,92,106
4237798,"New York, NY","Chicago, IL",15,ORD,1535.0,1401.0,UA,1,BOEING,1144,12,22,733.0,LGA,13.6573483032,94,107
4237792,"New York, NY","Chicago, IL",13,ORD,1442.0,1304.0,UA,1,BOEING,1141,12,22,733.0,LGA,11.4138103541,98,109
4237556,"New York, NY","Chicago, IL",16,ORD,1144.0,956.0,UA,1,AIRBUS,719,12,22,733.0,LGA,5.18505988134,108,113
4237536,"New York, NY","Chicago, IL",14,ORD,1850.0,1706.0,UA,1,AIRBUS,689,12,22,733.0,LGA,15.3769991705,104,119
4237919,"New York, NY","Chicago, IL",15,ORD,2053.0,1910.0,UA,1,BOEING,1233,12,22,733.0,LGA,18.2816876279,103,121
4237540,"New York, NY","Chicago, IL",16,ORD,2156.0,2009.0,UA,1,AIRBUS,695,12,22,733.0,LGA,20.1178160085,107,127
4237538,"New York, NY","Chicago, IL",13,ORD,2020.0,1829.0,UA,1,AIRBUS,691,12,22,733.0,LGA,18.2652640208,111,129
4050926,"New York, NY","Chicago, IL",7,ORD,1036.0,830.0,B6,1,AIRBUS,905,12,22,740.0,JFK,8.8119533003,126,134
4034820,"New York, NY","Chicago, IL",9,ORD,2227.0,2032.0,B6,1,EMBRAER,105,12,22,740.0,JFK,26.1982604254,115,141
